id,baseline_iou,vl2g_iou,delta_iou,baseline_dice,vl2g_dice,delta_dice,baseline_precision,vl2g_precision,baseline_recall,vl2g_recall
goose_041,0.6810260470744661,0.7979913080347678,0.11696526096030169,0.8102504399139724,0.8876475703400197,0.07739713042604734,0.7482600702537671,0.9002660767138031,0.8834399224806202,0.8753779069767442
goose_056,0.6886356350063493,0.7702972153273197,0.08166158032097037,0.8156118711823347,0.870246203471427,0.05463433228909231,0.8466977756147834,0.9441436395319891,0.7867277243727466,0.8070768827831183
goose_019,0.7001702776183711,0.7612084072020742,0.06103812958370303,0.8236472391449898,0.8644160498999208,0.040768810754930995,0.706813044882144,0.7702381816485032,0.9867550546900895,0.984832615180643
goose_004,0.7770280396097433,0.8270674966733454,0.05003945706360213,0.8745253561450702,0.9053496908890758,0.030824334744005588,0.9838628324540334,0.9791685214554421,0.7870588647412253,0.8418808796951608
goose_024,0.6905498791707296,0.7380741953152358,0.04752431614450614,0.8169529780564263,0.8493011372064824,0.032348159150056066,0.9926461625970016,0.9910402722710033,0.694100768476825,0.7430322486502262
goose_053,0.3945841177809989,0.43417480998914226,0.039590692208143374,0.5658806991274844,0.6054698589949844,0.0395891598675,0.40822775718923265,0.5089536672028849,0.92191311569004,0.7471583536617014
goose_050,0.8438167334024342,0.8825480990975041,0.03873136569506985,0.9152934975758912,0.9376101460787097,0.02231664850281856,0.9881096876001217,0.9813537877391436,0.8524727231437803,0.8975998201614189
goose_038,0.7749197134387352,0.8087357158012791,0.033816002362543895,0.8731884688320952,0.8942552620994771,0.021066793267381922,0.9700425202937766,0.9507536614046965,0.7939194533202569,0.8440950362238603
goose_028,0.2564913364415269,0.2885315373264217,0.03204020088489484,0.4082659848143938,0.44784551866708167,0.039579533852687865,0.2581386322295428,0.2931615125559366,0.9757242322516474,0.9481039413154295
goose_023,0.7804669370502572,0.8116420898194658,0.03117515276920868,0.8766991633591081,0.8960291819013189,0.019330018542210725,0.7926865708048249,0.8218580920516315,0.9806309738452138,0.984915922961443
goose_026,0.8259032585088997,0.8499860320358209,0.02408277352692123,0.9046517165245249,0.9189107564238764,0.014259039899351511,0.9939307891163257,0.9889466720991023,0.8300895572190984,0.858138504837361
