sample_id,model,prompt_type,target_gt,status,iou,dice,precision,recall,pred_pixels,gt_pixels
goose_001,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,524214
goose_002,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,680787
goose_003,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,168675
goose_004,grounded_sam2,road,traversable_strict,ok,0.001316069370647679,0.0026286792170924847,0.01310262168798073,0.001460882471615936,85937,770767
goose_005,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,285534
goose_006,grounded_sam2,road,traversable_strict,ok,0.8028582476893834,0.8906504421169654,0.8119513474733927,0.986242897739152,726211,597873
goose_007,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,632453
goose_008,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,578021
goose_009,grounded_sam2,road,traversable_strict,ok,0.90015755193529,0.9474557002060058,1.0,0.90015755193529,554200,615670
goose_010,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,335838
goose_011,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,751284
goose_012,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,489566
goose_013,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,628069
goose_014,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,59235
goose_015,grounded_sam2,road,traversable_strict,ok,0.7520919296466195,0.858507384139723,0.9971271832643144,0.7537251368771225,196323,259722
goose_016,grounded_sam2,road,traversable_strict,ok,1.073763527742694e-05,2.1475039963707182e-05,0.0007886435331230284,1.088573111971991e-05,10144,734907
goose_017,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,587943
goose_018,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,72699
goose_019,grounded_sam2,road,traversable_strict,ok,0.5932086274122699,0.7446716232961587,0.5943797265032332,0.9966895874589101,505527,301473
goose_020,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,286540
goose_021,grounded_sam2,road,traversable_strict,ok,0.9016122954075553,0.9482609021670434,0.9809041179881731,0.9177203598049617,270739,289379
goose_022,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,137127
goose_023,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,265114
goose_024,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,774389
goose_025,grounded_sam2,road,traversable_strict,ok,,,,,0,0
goose_026,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,503477
goose_027,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,83392
goose_028,grounded_sam2,road,traversable_strict,ok,0.0,0.0,0.0,0.0,17,160860
goose_029,grounded_sam2,road,traversable_strict,ok,0.9065051209441597,0.9509600692761114,0.940408134925227,0.96175148865377,604898,591474
goose_030,grounded_sam2,road,traversable_strict,ok,0.4340524599585522,0.6053508809170027,0.43643210789474973,0.9875939870454407,408398,180477
goose_031,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,7060
goose_032,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,506711
goose_033,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,219597
goose_034,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,348730
goose_035,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,611359
goose_036,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,20008
goose_037,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,664049
goose_038,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,758102
goose_039,grounded_sam2,road,traversable_strict,ok,0.0,0.0,0.0,,668460,0
goose_040,grounded_sam2,road,traversable_strict,ok,0.9499684223201362,0.9743423651854144,0.970691445352176,0.9780208520445984,796491,790522
goose_041,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,412695
goose_042,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,222327
goose_043,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,391932
goose_044,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,548710
goose_045,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,303942
goose_046,grounded_sam2,road,traversable_strict,ok,0.8719833723385104,0.9316144419052348,0.9011460348816757,0.964215265788607,295628,276291
goose_047,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,204772
goose_048,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,131780
goose_049,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,236021
goose_050,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,871893
goose_051,grounded_sam2,road,traversable_strict,ok,0.514224977785924,0.6791923067308211,0.9897423901956424,0.516980164603943,260782,499259
goose_052,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,302486
goose_053,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,77068
goose_054,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,620365
goose_055,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,177209
goose_056,grounded_sam2,road,traversable_strict,ok,0.0,0.0,,0.0,0,488718
goose_001,grounded_sam2,obstacle,obstacle,ok,0.27771940105482246,0.43471109670174995,0.3247365436416048,0.6573164024200684,169288,83634
goose_002,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,,0.0,0,11161
goose_003,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,,0.0,0,836270
goose_004,grounded_sam2,obstacle,obstacle,ok,0.06587194688669941,0.12360199004975124,0.08458510942543136,0.2294337113516309,73429,27071
goose_005,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,,0.0,0,307754
goose_006,grounded_sam2,obstacle,obstacle,ok,0.010012021603000017,0.019825549377342738,0.013094595545960153,0.04079543792952186,85226,27356
goose_007,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,0.0,0.0,613996,131148
goose_008,grounded_sam2,obstacle,obstacle,ok,0.6129178102254854,0.7600112123999668,0.9283922990856128,0.6433312167897604,103676,149615
