sample_id,split,src_image,src_label,image_path,label_path
goose_001,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-08-18_putzbrunn_feldwege/2022-08-18_putzbrunn_feldwege__0229_1660829620088453473_windshield_nir.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-08-18_putzbrunn_feldwege/2022-08-18_putzbrunn_feldwege__0229_1660829620088453473_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_001.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_001.png
goose_002,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2023-05-24_neubiberg_cloudy/2023-05-24_neubiberg_cloudy__0246_1684934981828041414_windshield_nir.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2023-05-24_neubiberg_cloudy/2023-05-24_neubiberg_cloudy__0246_1684934981828041414_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_002.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_002.png
goose_003,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-11-29_campus_rain_2/2022-11-29_campus_rain_2__0067_1669730491450086229_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-11-29_campus_rain_2/2022-11-29_campus_rain_2__0067_1669730491450086229_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_003.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_003.png
goose_004,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-07-27_hoehenkirchner_forst/2022-07-27_hoehenkirchner_forst__0333_1658916670121596361_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-07-27_hoehenkirchner_forst/2022-07-27_hoehenkirchner_forst__0333_1658916670121596361_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_004.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_004.png
goose_005,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-07-22_flight/2022-07-22_flight__0173_1658494507665638263_windshield_nir.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-07-22_flight/2022-07-22_flight__0173_1658494507665638263_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_005.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_005.png
goose_006,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2023-02-23_campus_roads/2023-02-23_campus_roads__0127_1677167578776240407_windshield_nir.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2023-02-23_campus_roads/2023-02-23_campus_roads__0127_1677167578776240407_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_006.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_006.png
goose_007,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-10-12_solalinden_waldwege/2022-10-12_solalinden_waldwege__0495_1665582993950593023_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-10-12_solalinden_waldwege/2022-10-12_solalinden_waldwege__0495_1665582993950593023_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_007.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_007.png
goose_008,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2023-04-20_campus/2023-04-20_campus__0114_1681996224299387996_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2023-04-20_campus/2023-04-20_campus__0114_1681996224299387996_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_008.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_008.png
goose_009,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-11-11_aying/2022-11-11_aying__0225_1668158819722958294_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-11-11_aying/2022-11-11_aying__0225_1668158819722958294_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_009.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_009.png
goose_010,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2023-01-20_aying_mangfall_2/2023-01-20_aying_mangfall_2__1123_1674226508374127052_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2023-01-20_aying_mangfall_2/2023-01-20_aying_mangfall_2__1123_1674226508374127052_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_010.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_010.png
goose_011,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2023-05-24_neubiberg_cloudy/2023-05-24_neubiberg_cloudy__0060_1684933628090437770_windshield_nir.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2023-05-24_neubiberg_cloudy/2023-05-24_neubiberg_cloudy__0060_1684933628090437770_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_011.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_011.png
goose_012,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2023-04-20_campus/2023-04-20_campus__0223_1681996492694824403_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2023-04-20_campus/2023-04-20_campus__0223_1681996492694824403_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_012.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_012.png
goose_013,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-09-14_garching_uebungsplatz/2022-09-14_garching_uebungsplatz__0092_1663153587346701828_windshield_nir.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-09-14_garching_uebungsplatz/2022-09-14_garching_uebungsplatz__0092_1663153587346701828_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_013.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_013.png
goose_014,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-11-11_aying/2022-11-11_aying__0165_1668158667591930918_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-11-11_aying/2022-11-11_aying__0165_1668158667591930918_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_014.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_014.png
goose_015,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-09-14_garching_uebungsplatz/2022-09-14_garching_uebungsplatz__0064_1663153500827393717_windshield_nir.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-09-14_garching_uebungsplatz/2022-09-14_garching_uebungsplatz__0064_1663153500827393717_labelids.png,/mnt/d/research_vl2g/goose_train_500/images/goose_015.png,/mnt/d/research_vl2g/goose_train_500/labels/goose_015.png
